T,T2,delta_y
0.002,4e-06,-1.1792007784672591e-12
0.002157894736842105,4.656509695290858e-06,8.055016035238947e-13
0.0023157894736842107,5.362880886426594e-06,-6.74041375966176e-13
0.002473684210526316,6.119113573407202e-06,4.0517784345029295e-13
0.002631578947368421,6.925207756232687e-06,5.668454607203396e-13
0.0027894736842105266,7.78116343490305e-06,1.8377820724170004e-12
0.0029473684210526317,8.686980609418283e-06,-2.0120454755348656e-13
0.003105263157894737,9.642659279778394e-06,3.7797290147856703e-13
0.003263157894736842,1.0648199445983379e-05,-1.4829258392382393e-12
0.0034210526315789475,1.1703601108033242e-05,1.1927542835153506e-12
0.0035789473684210526,1.2808864265927978e-05,-7.57947075218179e-13
0.003736842105263158,1.3963988919667592e-05,-5.579613663038121e-13
0.0038947368421052633,1.5168975069252079e-05,-1.921399983536032e-14
0.0040526315789473685,1.642382271468144e-05,-1.5595995807969133e-12
0.004210526315789474,1.7728531855955677e-05,2.323157353001291e-13
0.004368421052631579,1.908310249307479e-05,9.712828934236257e-13
0.004526315789473684,2.0487534626038778e-05,2.9703133042249936e-13
0.004684210526315789,2.194182825484764e-05,-1.5845091985277557e-12
0.004842105263157895,2.3445983379501388e-05,-1.1912009765375928e-13
0.005,2.5e-05,7.470289029794906e-13
