A_theta_fraction,fft_peak_near_f,fft_peak_norm,pred_absJ1_2piA,pred_absJ1_norm,f_drive_Hz,Fs,T_sec,phi_em_frac
0.05,0.056316768810403664,0.2660717311828924,0.15514969328365502,0.26682192898532525,47.0,2000,2.0,0.35
0.1,0.1087538967805089,0.5138138817355239,0.29890905631337467,0.5140550993607415,47.0,2000,2.0,0.35
0.15000000000000002,0.15308484944209305,0.7232579526367572,0.4208168954448092,0.7237086546276076,47.0,2000,2.0,0.35
0.2,0.18634127166017528,0.8803797836548696,0.5121907087243275,0.8808506805123244,47.0,2000,2.0,0.35
0.25,0.20635463089660006,0.9749340212523391,0.5668240889058739,0.9748075783862861,47.0,2000,2.0,0.35
0.3,0.21166009842546046,1.0,0.5814727967587251,1.0,47.0,2000,2.0,0.35
0.35000000000000003,0.20241551704240587,0.9563234570340606,0.5560889008037342,0.9563455141900239,47.0,2000,2.0,0.35
0.4,0.1796623966654757,0.8488250643460167,0.4937844704853765,0.8491961674524667,47.0,2000,2.0,0.35
0.45,0.14575185894040218,0.6886128279474985,0.4005299421824561,0.6888197425831616,47.0,2000,2.0,0.35
0.5,0.10353956203343209,0.48917846492401224,0.28461534317975284,0.48947318733786,47.0,2000,2.0,0.35
