phi_frac_EM,phi_frac_theta,phase_total_rad
-0.9,-0.9,-11.30973457360938
-0.9,-0.8,-10.68141604289142
-0.9,-0.7,-10.053097512173462
-0.9,-0.6,-9.424778981455503
-0.9,-0.5,-8.796460450737545
-0.9,-0.4,-8.168141920019586
-0.9,-0.29999999999999993,-7.5398233893016275
-0.9,-0.19999999999999996,-6.911504858583669
-0.9,-0.09999999999999998,-6.28318632786571
-0.9,0.0,-5.654867797147752
-0.9,0.09999999999999998,-5.026549266429793
-0.9,0.20000000000000007,-4.398230735711834
-0.9,0.30000000000000016,-3.769912204993875
-0.9,0.4,-3.141593674275917
-0.9,0.5000000000000001,-2.5132751435579577
-0.9,0.6,-1.88495661284
-0.9,0.7000000000000001,-1.2566380821220413
-0.9,0.8000000000000002,-0.6283195514040818
-0.9,0.9,-1.0206861240646958e-06
-0.8,-0.9,-10.681415929481851
-0.8,-0.8,-10.053097398763892
-0.8,-0.7,-9.424778868045934
-0.8,-0.6,-8.796460337327975
-0.8,-0.5,-8.168141806610016
-0.8,-0.4,-7.539823275892058
-0.8,-0.29999999999999993,-6.911504745174099
-0.8,-0.19999999999999996,-6.283186214456141
-0.8,-0.09999999999999998,-5.654867683738182
-0.8,0.0,-5.026549153020223
-0.8,0.09999999999999998,-4.398230622302265
-0.8,0.20000000000000007,-3.7699120915843056
-0.8,0.30000000000000016,-3.1415935608663466
-0.8,0.4,-2.513275030148389
-0.8,0.5000000000000001,-1.8849564994304293
-0.8,0.6,-1.2566379687124716
-0.8,0.7000000000000001,-0.628319437994513
-0.8,0.8000000000000002,-9.072765534412497e-07
-0.8,0.9,0.6283176234414043
-0.7,-0.9,-10.053097285354323
-0.7,-0.8,-9.424778754636364
-0.7,-0.7,-8.796460223918405
-0.7,-0.6,-8.168141693200447
-0.7,-0.5,-7.539823162482489
-0.7,-0.4,-6.91150463176453
-0.7,-0.29999999999999993,-6.283186101046571
-0.7,-0.19999999999999996,-5.654867570328613
-0.7,-0.09999999999999998,-5.0265490396106545
-0.7,0.0,-4.398230508892696
-0.7,0.09999999999999998,-3.769911978174737
-0.7,0.20000000000000007,-3.141593447456778
-0.7,0.30000000000000016,-2.513274916738819
-0.7,0.4,-1.8849563860208614
-0.7,0.5000000000000001,-1.2566378553029018
-0.7,0.6,-0.6283193245849441
-0.7,0.7000000000000001,-7.938669854823388e-07
-0.7,0.8000000000000002,0.628317736850974
-0.7,0.9,1.2566362675689318
-0.6,-0.9,-9.424778641226796
-0.6,-0.8,-8.796460110508837
-0.6,-0.7,-8.168141579790879
-0.6,-0.6,-7.53982304907292
-0.6,-0.5,-6.9115045183549615
-0.6,-0.4,-6.283185987637003
-0.6,-0.29999999999999993,-5.654867456919044
-0.6,-0.19999999999999996,-5.026548926201086
-0.6,-0.09999999999999998,-4.398230395483127
-0.6,0.0,-3.7699118647651684
-0.6,0.09999999999999998,-3.1415933340472098
-0.6,0.20000000000000007,-2.5132748033292507
-0.6,0.30000000000000016,-1.8849562726112916
-0.6,0.4,-1.2566377418933339
-0.6,0.5000000000000001,-0.6283192111753744
-0.6,0.6,-6.804574166352495e-07
-0.6,0.7000000000000001,0.628317850260542
-0.6,0.8000000000000002,1.2566363809785015
-0.6,0.9,1.8849549116964592
-0.5,-0.9,-8.796459997099266
-0.5,-0.8,-8.168141466381307
-0.5,-0.7,-7.5398229356633495
-0.5,-0.6,-6.911504404945391
-0.5,-0.5,-6.283185874227432
-0.5,-0.4,-5.654867343509474
-0.5,-0.29999999999999993,-5.026548812791514
-0.5,-0.19999999999999996,-4.398230282073556
-0.5,-0.09999999999999998,-3.7699117513555978
-0.5,0.0,-3.141593220637639
-0.5,0.09999999999999998,-2.5132746899196805
-0.5,0.20000000000000007,-1.8849561592017214
-0.5,0.30000000000000016,-1.2566376284837624
-0.5,0.4,-0.6283190977658046
-0.5,0.5000000000000001,-5.670478451236249e-07
-0.5,0.6,0.6283179636701126
-0.5,0.7000000000000001,1.2566364943880712
-0.5,0.8000000000000002,1.8849550251060307
-0.5,0.9,2.5132735558239885
-0.4,-0.9,-8.16814135297174
-0.4,-0.8,-7.539822822253781
-0.4,-0.7,-6.911504291535822
-0.4,-0.6,-6.283185760817863
-0.4,-0.5,-5.654867230099905
-0.4,-0.4,-5.026548699381946
-0.4,-0.29999999999999993,-4.3982301686639875
-0.4,-0.19999999999999996,-3.769911637946029
-0.4,-0.09999999999999998,-3.1415931072280703
-0.4,0.0,-2.5132745765101117
-0.4,0.09999999999999998,-1.884956045792153
-0.4,0.20000000000000007,-1.256637515074194
-0.4,0.30000000000000016,-0.6283189843562349
-0.4,0.4,-4.5363827716471405e-07
-0.4,0.5000000000000001,0.6283180770796823
-0.4,0.6,1.25663660779764
-0.4,0.7000000000000001,1.8849551385155987
-0.4,0.8000000000000002,2.513273669233558
-0.4,0.9,3.141592199951516
-0.29999999999999993,-0.9,-7.539822708844211
-0.29999999999999993,-0.8,-6.911504178126252
-0.29999999999999993,-0.7,-6.283185647408294
-0.29999999999999993,-0.6,-5.654867116690335
-0.29999999999999993,-0.5,-5.026548585972376
-0.29999999999999993,-0.4,-4.398230055254418
-0.29999999999999993,-0.29999999999999993,-3.7699115245364583
-0.29999999999999993,-0.19999999999999996,-3.1415929938185
-0.29999999999999993,-0.09999999999999998,-2.5132744631005415
-0.29999999999999993,0.0,-1.884955932382583
-0.29999999999999993,0.09999999999999998,-1.2566374016646247
-0.29999999999999993,0.20000000000000007,-0.6283188709466654
-0.29999999999999993,0.30000000000000016,-3.402287063192233e-07
-0.29999999999999993,0.4,0.6283181904892514
-0.29999999999999993,0.5000000000000001,1.256636721207211
-0.29999999999999993,0.6,1.8849552519251687
-0.29999999999999993,0.7000000000000001,2.513273782643127
-0.29999999999999993,0.8000000000000002,3.1415923133610866
-0.29999999999999993,0.9,3.7699108440790443
-0.19999999999999996,-0.9,-6.911504064716683
-0.19999999999999996,-0.8,-6.283185533998725
-0.19999999999999996,-0.7,-5.654867003280766
-0.19999999999999996,-0.6,-5.026548472562808
-0.19999999999999996,-0.5,-4.398229941844849
-0.19999999999999996,-0.4,-3.7699114111268903
-0.19999999999999996,-0.29999999999999993,-3.141592880408931
-0.19999999999999996,-0.19999999999999996,-2.5132743496909726
-0.19999999999999996,-0.09999999999999998,-1.884955818973014
-0.19999999999999996,0.0,-1.2566372882550556
-0.19999999999999996,0.09999999999999998,-0.6283187575370971
-0.19999999999999996,0.20000000000000007,-2.268191379162232e-07
-0.19999999999999996,0.30000000000000016,0.6283183038988212
-0.19999999999999996,0.4,1.2566368346167789
-0.19999999999999996,0.5000000000000001,1.8849553653347384
-0.19999999999999996,0.6,2.513273896052696
-0.19999999999999996,0.7000000000000001,3.1415924267706545
-0.19999999999999996,0.8000000000000002,3.769910957488614
-0.19999999999999996,0.9,4.398229488206572
-0.09999999999999998,-0.9,-6.283185420589155
-0.09999999999999998,-0.8,-5.6548668898711965
-0.09999999999999998,-0.7,-5.026548359153238
-0.09999999999999998,-0.6,-4.398229828435279
-0.09999999999999998,-0.5,-3.769911297717321
-0.09999999999999998,-0.4,-3.1415927669993624
-0.09999999999999998,-0.29999999999999993,-2.5132742362814033
-0.09999999999999998,-0.19999999999999996,-1.8849557055634447
-0.09999999999999998,-0.09999999999999998,-1.2566371748454863
-0.09999999999999998,0.0,-0.6283186441275278
-0.09999999999999998,0.09999999999999998,-1.1340956929117851e-07
-0.09999999999999998,0.20000000000000007,0.6283184173083899
-0.09999999999999998,0.30000000000000016,1.2566369480263488
-0.09999999999999998,0.4,1.8849554787443066
-0.09999999999999998,0.5000000000000001,2.513274009462266
-0.09999999999999998,0.6,3.141592540180224
-0.09999999999999998,0.7000000000000001,3.7699110708981824
-0.09999999999999998,0.8000000000000002,4.398229601616142
-0.09999999999999998,0.9,5.0265481323341
0.0,-0.9,-5.654866776461628
0.0,-0.8,-5.026548245743669
0.0,-0.7,-4.39822971502571
0.0,-0.6,-3.7699111843077517
0.0,-0.5,-3.141592653589793
0.0,-0.4,-2.5132741228718345
0.0,-0.29999999999999993,-1.8849555921538754
0.0,-0.19999999999999996,-1.256637061435917
0.0,-0.09999999999999998,-0.6283185307179585
0.0,0.0,0.0
0.0,0.09999999999999998,0.6283185307179585
0.0,0.20000000000000007,1.2566370614359177
0.0,0.30000000000000016,1.8849555921538768
0.0,0.4,2.5132741228718345
0.0,0.5000000000000001,3.141592653589794
0.0,0.6,3.7699111843077517
0.0,0.7000000000000001,4.39822971502571
0.0,0.8000000000000002,5.02654824574367
0.0,0.9,5.654866776461628
0.09999999999999998,-0.9,-5.0265481323341
0.09999999999999998,-0.8,-4.3982296016161415
0.09999999999999998,-0.7,-3.7699110708981824
0.09999999999999998,-0.6,-3.141592540180224
0.09999999999999998,-0.5,-2.513274009462265
0.09999999999999998,-0.4,-1.8849554787443066
0.09999999999999998,-0.29999999999999993,-1.2566369480263475
0.09999999999999998,-0.19999999999999996,-0.6283184173083892
0.09999999999999998,-0.09999999999999998,1.1340956929117851e-07
0.09999999999999998,0.0,0.6283186441275278
0.09999999999999998,0.09999999999999998,1.2566371748454863
0.09999999999999998,0.20000000000000007,1.8849557055634456
0.09999999999999998,0.30000000000000016,2.5132742362814047
0.09999999999999998,0.4,3.1415927669993624
0.09999999999999998,0.5000000000000001,3.769911297717322
0.09999999999999998,0.6,4.398229828435279
0.09999999999999998,0.7000000000000001,5.026548359153238
0.09999999999999998,0.8000000000000002,5.654866889871197
0.09999999999999998,0.9,6.283185420589155
0.20000000000000007,-0.9,-4.398229488206571
0.20000000000000007,-0.8,-3.7699109574886127
0.20000000000000007,-0.7,-3.141592426770654
0.20000000000000007,-0.6,-2.5132738960526955
0.20000000000000007,-0.5,-1.8849553653347368
0.20000000000000007,-0.4,-1.2566368346167782
0.20000000000000007,-0.29999999999999993,-0.6283183038988192
0.20000000000000007,-0.19999999999999996,2.2681913924849084e-07
0.20000000000000007,-0.09999999999999998,0.6283187575370978
0.20000000000000007,0.0,1.2566372882550563
0.20000000000000007,0.09999999999999998,1.884955818973015
0.20000000000000007,0.20000000000000007,2.513274349690974
0.20000000000000007,0.30000000000000016,3.141592880408933
0.20000000000000007,0.4,3.7699114111268908
0.20000000000000007,0.5000000000000001,4.39822994184485
0.20000000000000007,0.6,5.0265484725628085
0.20000000000000007,0.7000000000000001,5.654867003280767
0.20000000000000007,0.8000000000000002,6.283185533998726
0.20000000000000007,0.9,6.911504064716684
0.30000000000000016,-0.9,-3.7699108440790425
0.30000000000000016,-0.8,-3.141592313361084
0.30000000000000016,-0.7,-2.5132737826431253
0.30000000000000016,-0.6,-1.8849552519251669
0.30000000000000016,-0.5,-1.2566367212072083
0.30000000000000016,-0.4,-0.6283181904892496
0.30000000000000016,-0.29999999999999993,3.402287094278478e-07
0.30000000000000016,-0.19999999999999996,0.6283188709466678
0.30000000000000016,-0.09999999999999998,1.2566374016646265
0.30000000000000016,0.0,1.8849559323825849
0.30000000000000016,0.09999999999999998,2.5132744631005433
0.30000000000000016,0.20000000000000007,3.1415929938185023
0.30000000000000016,0.30000000000000016,3.769911524536462
0.30000000000000016,0.4,4.39823005525442
0.30000000000000016,0.5000000000000001,5.026548585972379
0.30000000000000016,0.6,5.654867116690337
0.30000000000000016,0.7000000000000001,6.283185647408295
0.30000000000000016,0.8000000000000002,6.911504178126255
0.30000000000000016,0.9,7.539822708844213
0.4,-0.9,-3.141592199951516
0.4,-0.8,-2.5132736692335573
0.4,-0.7,-1.8849551385155987
0.4,-0.6,-1.25663660779764
0.4,-0.5,-0.6283180770796815
0.4,-0.4,4.5363827716471405e-07
0.4,-0.29999999999999993,0.6283189843562362
0.4,-0.19999999999999996,1.2566375150741946
0.4,-0.09999999999999998,1.884956045792153
0.4,0.0,2.5132745765101117
0.4,0.09999999999999998,3.1415931072280703
0.4,0.20000000000000007,3.7699116379460293
0.4,0.30000000000000016,4.398230168663988
0.4,0.4,5.026548699381946
0.4,0.5000000000000001,5.654867230099906
0.4,0.6,6.283185760817863
0.4,0.7000000000000001,6.911504291535822
0.4,0.8000000000000002,7.5398228222537815
0.4,0.9,8.16814135297174
0.5000000000000001,-0.9,-2.5132735558239876
0.5000000000000001,-0.8,-1.884955025106029
0.5000000000000001,-0.7,-1.2566364943880703
0.5000000000000001,-0.6,-0.6283179636701117
0.5000000000000001,-0.5,5.670478468999818e-07
0.5000000000000001,-0.4,0.6283190977658055
0.5000000000000001,-0.29999999999999993,1.2566376284837646
0.5000000000000001,-0.19999999999999996,1.884956159201723
0.5000000000000001,-0.09999999999999998,2.5132746899196814
0.5000000000000001,0.0,3.14159322063764
0.5000000000000001,0.09999999999999998,3.7699117513555986
0.5000000000000001,0.20000000000000007,4.398230282073557
0.5000000000000001,0.30000000000000016,5.026548812791517
0.5000000000000001,0.4,5.6548673435094745
0.5000000000000001,0.5000000000000001,6.283185874227434
0.5000000000000001,0.6,6.911504404945392
0.5000000000000001,0.7000000000000001,7.53982293566335
0.5000000000000001,0.8000000000000002,8.16814146638131
0.5000000000000001,0.9,8.796459997099268
0.6,-0.9,-1.8849549116964592
0.6,-0.8,-1.2566363809785006
0.6,-0.7,-0.628317850260542
0.6,-0.6,6.804574166352495e-07
0.6,-0.5,0.6283192111753753
0.6,-0.4,1.2566377418933339
0.6,-0.29999999999999993,1.884956272611293
0.6,-0.19999999999999996,2.513274803329251
0.6,-0.09999999999999998,3.1415933340472098
0.6,0.0,3.7699118647651684
0.6,0.09999999999999998,4.398230395483127
0.6,0.20000000000000007,5.026548926201086
0.6,0.30000000000000016,5.654867456919045
0.6,0.4,6.283185987637003
0.6,0.5000000000000001,6.911504518354962
0.6,0.6,7.53982304907292
0.6,0.7000000000000001,8.168141579790879
0.6,0.8000000000000002,8.79646011050884
0.6,0.9,9.424778641226796
0.7000000000000001,-0.9,-1.2566362675689318
0.7000000000000001,-0.8,-0.6283177368509731
0.7000000000000001,-0.7,7.938669854823388e-07
0.7000000000000001,-0.6,0.6283193245849441
0.7000000000000001,-0.5,1.2566378553029027
0.7000000000000001,-0.4,1.8849563860208614
0.7000000000000001,-0.29999999999999993,2.5132749167388204
0.7000000000000001,-0.19999999999999996,3.1415934474567786
0.7000000000000001,-0.09999999999999998,3.769911978174737
0.7000000000000001,0.0,4.398230508892696
0.7000000000000001,0.09999999999999998,5.0265490396106545
0.7000000000000001,0.20000000000000007,5.654867570328614
0.7000000000000001,0.30000000000000016,6.283186101046573
0.7000000000000001,0.4,6.91150463176453
0.7000000000000001,0.5000000000000001,7.53982316248249
0.7000000000000001,0.6,8.168141693200447
0.7000000000000001,0.7000000000000001,8.796460223918405
0.7000000000000001,0.8000000000000002,9.424778754636366
0.7000000000000001,0.9,10.053097285354323
0.8000000000000002,-0.9,-0.6283176234414025
0.8000000000000002,-0.8,9.07276556105785e-07
0.8000000000000002,-0.7,0.6283194379945147
0.8000000000000002,-0.6,1.2566379687124734
0.8000000000000002,-0.5,1.884956499430432
0.8000000000000002,-0.4,2.5132750301483906
0.8000000000000002,-0.29999999999999993,3.1415935608663497
0.8000000000000002,-0.19999999999999996,3.769912091584308
0.8000000000000002,-0.09999999999999998,4.3982306223022665
0.8000000000000002,0.0,5.026549153020225
0.8000000000000002,0.09999999999999998,5.654867683738184
0.8000000000000002,0.20000000000000007,6.283186214456142
0.8000000000000002,0.30000000000000016,6.911504745174102
0.8000000000000002,0.4,7.53982327589206
0.8000000000000002,0.5000000000000001,8.16814180661002
0.8000000000000002,0.6,8.796460337327977
0.8000000000000002,0.7000000000000001,9.424778868045935
0.8000000000000002,0.8000000000000002,10.053097398763896
0.8000000000000002,0.9,10.681415929481853
0.9,-0.9,1.0206861240646958e-06
0.9,-0.8,0.6283195514040827
0.9,-0.7,1.2566380821220413
0.9,-0.6,1.88495661284
0.9,-0.5,2.5132751435579586
0.9,-0.4,3.141593674275917
0.9,-0.29999999999999993,3.7699122049938762
0.9,-0.19999999999999996,4.398230735711834
0.9,-0.09999999999999998,5.026549266429793
0.9,0.0,5.654867797147752
0.9,0.09999999999999998,6.28318632786571
0.9,0.20000000000000007,6.911504858583669
0.9,0.30000000000000016,7.539823389301628
0.9,0.4,8.168141920019586
0.9,0.5000000000000001,8.796460450737545
0.9,0.6,9.424778981455503
0.9,0.7000000000000001,10.053097512173462
0.9,0.8000000000000002,10.68141604289142
0.9,0.9,11.30973457360938
