phi_frac_theta,phase_total_rad
-1.0,-6.283185307179586
-0.9,-5.654866776461628
-0.8,-5.026548245743669
-0.7,-4.39822971502571
-0.6,-3.7699111843077517
-0.5,-3.141592653589793
-0.3999999999999999,-2.513274122871834
-0.29999999999999993,-1.8849555921538754
-0.19999999999999996,-1.256637061435917
-0.09999999999999998,-0.6283185307179585
0.0,0.0
0.10000000000000009,0.6283185307179592
0.20000000000000018,1.2566370614359184
0.30000000000000004,1.884955592153876
0.40000000000000013,2.5132741228718354
0.5,3.141592653589793
0.6000000000000001,3.769911184307752
0.7000000000000002,4.398229715025711
0.8,5.026548245743669
0.9000000000000001,5.6548667764616285
1.0,6.283185307179586
