T,delta_y,kappa,dA_dy,theta_dot,alpha
0.0,0.0,1.0,0.75,2.0,0.5
0.1,0.0075000000000000015,1.0,0.75,2.0,0.5
0.2,0.030000000000000006,1.0,0.75,2.0,0.5
0.30000000000000004,0.06750000000000002,1.0,0.75,2.0,0.5
0.4,0.12000000000000002,1.0,0.75,2.0,0.5
0.5,0.1875,1.0,0.75,2.0,0.5
0.6000000000000001,0.2700000000000001,1.0,0.75,2.0,0.5
0.7000000000000001,0.36750000000000005,1.0,0.75,2.0,0.5
0.8,0.4800000000000001,1.0,0.75,2.0,0.5
0.9,0.6075,1.0,0.75,2.0,0.5
1.0,0.75,1.0,0.75,2.0,0.5
1.1,0.9075000000000002,1.0,0.75,2.0,0.5
1.2000000000000002,1.0800000000000003,1.0,0.75,2.0,0.5
1.3,1.2675,1.0,0.75,2.0,0.5
1.4000000000000001,1.4700000000000002,1.0,0.75,2.0,0.5
1.5,1.6875,1.0,0.75,2.0,0.5
1.6,1.9200000000000004,1.0,0.75,2.0,0.5
1.7000000000000002,2.1675000000000004,1.0,0.75,2.0,0.5
1.8,2.43,1.0,0.75,2.0,0.5
1.9000000000000001,2.7075000000000005,1.0,0.75,2.0,0.5
2.0,3.0,1.0,0.75,2.0,0.5
2.1,3.3075,1.0,0.75,2.0,0.5
2.2,3.630000000000001,1.0,0.75,2.0,0.5
2.3000000000000003,3.9675000000000007,1.0,0.75,2.0,0.5
2.4000000000000004,4.320000000000001,1.0,0.75,2.0,0.5
2.5,4.6875,1.0,0.75,2.0,0.5
2.6,5.07,1.0,0.75,2.0,0.5
2.7,5.467500000000001,1.0,0.75,2.0,0.5
2.8000000000000003,5.880000000000001,1.0,0.75,2.0,0.5
2.9000000000000004,6.307500000000001,1.0,0.75,2.0,0.5
3.0,6.75,1.0,0.75,2.0,0.5
3.1,7.207500000000001,1.0,0.75,2.0,0.5
3.2,7.6800000000000015,1.0,0.75,2.0,0.5
3.3000000000000003,8.167500000000002,1.0,0.75,2.0,0.5
3.4000000000000004,8.670000000000002,1.0,0.75,2.0,0.5
3.5,9.1875,1.0,0.75,2.0,0.5
3.6,9.72,1.0,0.75,2.0,0.5
3.7,10.267500000000002,1.0,0.75,2.0,0.5
3.8000000000000003,10.830000000000002,1.0,0.75,2.0,0.5
3.9000000000000004,11.407500000000002,1.0,0.75,2.0,0.5
4.0,12.0,1.0,0.75,2.0,0.5
4.1000000000000005,12.607500000000005,1.0,0.75,2.0,0.5
4.2,13.23,1.0,0.75,2.0,0.5
4.3,13.8675,1.0,0.75,2.0,0.5
4.4,14.520000000000003,1.0,0.75,2.0,0.5
4.5,15.1875,1.0,0.75,2.0,0.5
4.6000000000000005,15.870000000000003,1.0,0.75,2.0,0.5
4.7,16.567500000000003,1.0,0.75,2.0,0.5
4.800000000000001,17.280000000000005,1.0,0.75,2.0,0.5
4.9,18.007500000000004,1.0,0.75,2.0,0.5
5.0,18.75,1.0,0.75,2.0,0.5
